family	system	status	repo	head_sha	license	size	mechanism_slice	note
EDA	OpenROAD	MISSING	The-OpenROAD-Project/OpenROAD	a95a14a992297c6e8ce14d55abfa31750e13df0b	BSD-3-Clause	1016188 KB	src/odb/include/odb/{db.h,dbTypes.h} (design DB); src/drt/ (router DRC) [verified 200]; src/sta is a SUBMODULE (OpenSTA, separate repo/license, UNVERIFIED)	'later' tier: digital IC physical design; not needed for foundational primitives
multibody	Project Chrono	MISSING	projectchrono/chrono	aa3922df4ad18cc8571cb71b7fb274fd7e1612fa	BSD-3-Clause	1019921 KB	src/chrono/core/{ChFrame.h,ChFrameMoving.h}; src/chrono/physics/{ChSystem.h,ChAssembly.h,ChBody.h,ChLinkLock.h}; src/chrono/solver/ChSystemDescriptor.h; src/chrono/timestepper/ChTimestepper.h; src/chrono/serialization/ChArchive.h [verified 200]	overlaps Drake/MuJoCo; ChFrameMoving (frame+velocity) is a clean frame-algebra reference; 1 GB repo
modelica	OpenModelica	MISSING	OpenModelica/OpenModelica	8e77d72e0f5ed79a9c6fc404191f7988f168432d	OSMC-PL-1.x (AGPL-3.0 | OSMC-EPL-1.0)	363439 KB	OMCompiler/Compiler/NFFrontEnd/{NFInst.mo,NFConnectEquations.mo,NFUnit.mo,NFUnitCheck.mo}; OMCompiler/Compiler/BackEnd/{BackendDAE.mo,Matching.mo,Causalize.mo}; OMCompiler/Compiler/NBackEnd/; FrontEnd/UnitChecker.mo [verified 200]; BackEnd/Unit.mo, BackEnd/UnitCheck.mo 404	AGPL/EPL copyleft: principles-only. GitHub NOASSERTION; OSMC-License.txt fetched. Only donor that combines connector-based component graph + unit checking + equation matching
modelica	OMCompiler (standalone)	MISSING	OpenModelica/OMCompiler	5dc61f678fe0ed388fc811fe2cea14c54a0a0b29	OSMC-PL (AGPL-3.0/EPL)	83133 KB	Compiler/BackEnd/BackendDAE.mo [verified 200]	ARCHIVED 2019-05; now OMCompiler/ subdir of OpenModelica. DUPLICATE/stale - do not admit
CFD	OpenFOAM-dev	MISSING	OpenFOAM/OpenFOAM-dev	0ae4d61b7fa7075d13b74e2ddc6f81a3a19d7284	GPL-3.0-or-later	158001 KB	src/OpenFOAM/dimensionSet/{dimensionSet.H,dimensionSet.C,dimensionSetIO.C}; src/OpenFOAM/dimensionedTypes/; src/OpenFOAM/db/Time/Time.H; src/OpenFOAM/db/IOobject/IOobject.H [verified 200]; DimensionedField path UNVERIFIED	GPL: principles-only. dimensionSet = 7-exponent runtime dimension check on every field op; Time/controlDict = case/run identity
CNC	LinuxCNC	MISSING	LinuxCNC/linuxcnc	f218ffbf0d182c2c438ffaaaa2743f33ad75e6ff	GPL-2.0 (COPYING; per-file exceptions UNVERIFIED)	882074 KB	src/emc/kinematics/{kinematics.h,genserkins.c}; src/hal/hal.h (HAL pin/signal component graph); src/emc/motion/control.c; src/emc/tp/tp.c [verified 200]	GPL: principles-only. HAL pins+signals is a clean typed component-wiring model; not first-tier
robotics	ROS 2 tf2	MISSING	ros2/geometry2	77f7559fd41311dd248168fb0249fdd272ca23cb	BSD-3-Clause	n/a	tf2/src/buffer_core.cpp, tf2/include/tf2/buffer_core.hpp [verified 200]	NEW row: frames mechanism in ROS 2 lives here, not in rclcpp; time-stamped frame tree with named parent/child edges; default branch rolling
robotics	URDF (urdfdom)	MISSING	ros/urdfdom	57cb55f016b6503a6e0a5a4fb495871321b220bc	BSD-3-Clause	n/a	urdf_parser/src/model.cpp [verified 200]; urdfdom_headers model.h UNVERIFIED	NEW row: kinematic-chain declarative format parsed by Pinocchio/ros2_control/Drake
robotics	ROS 2 rclcpp	MISSING (reuse requested-frontier row)	ros2/rclcpp	29de98cf1bc2e736ec1a5f7ad4c74e98c3fd3b17	Apache-2.0	10462 KB	rclcpp/src/rclcpp/executors, node_interfaces [UNVERIFIED, from prior row]	not a physical-primitive donor; UNJUSTIFIED for this frontier (tf2 is the frame mechanism)
robotics	ros2_control	MISSING (reuse)	ros-controls/ros2_control	b0c14b5edca8d17fc2996be1909815e8fcb587c6	Apache-2.0	16879 KB	hardware_interface/src/component_parser.cpp, hardware_interface/include/hardware_interface/hardware_info.hpp (URDF <ros2_control> -> component/joint/interface graph); controller_manager/src/controller_manager.cpp [verified 200]	component graph of hardware joints + command/state interfaces
robotics	Drake	MISSING (reuse)	RobotLocomotion/drake	324b479a1421a77f46e48745892dfa23f5bdc6c1	BSD-3-Clause	424726 KB	systems/framework/{diagram_builder.h,context.h,system_constraint.h}; math/rigid_transform.h; multibody/tree/{multibody_tree.h,frame.h}; systems/analysis/{simulator.h,simulator_config.h,monte_carlo.h}; common/random.h [verified 200]	strongest all-rounder: system graph (Diagram), frames (RigidTransform with frame-named notation), SystemConstraint, SimulatorConfig+seed
robotics	Pinocchio	MISSING (reuse)	stack-of-tasks/pinocchio	6d53a7bede3f70c8bb949aefde7ba9c6ef01d472	BSD-2-Clause	43075 KB	include/pinocchio/{multibody.hpp,spatial.hpp,algorithm/kinematics.hpp,algorithm/frames.hpp,parsers/urdf.hpp}; IMPLEMENTATION moved to include/pinocchio/src/{multibody/model.hxx,multibody/frame.hxx,spatial/se3-tpl.hxx,algorithm/kinematics.hxx} [verified 200]	devel branch restructured: include/pinocchio/multibody/model.hpp and spatial/se3.hpp now 404; pin to sha
robotics	MuJoCo	MISSING (reuse)	google-deepmind/mujoco	c0d845b93c463993eeb7abe1547b45c89dac6f10	Apache-2.0	143485 KB	src/engine/{engine_forward.c,engine_core_constraint.c,engine_core_smooth.c,engine_util_spatial.c,engine_io.c}; include/mujoco/{mjmodel.h,mjdata.h}; src/user/user_model.cc [verified 200]	mjModel (immutable) vs mjData (run state) split = clean simulation-run identity
robotics	PX4	MISSING (reuse)	PX4/PX4-Autopilot	86716507be65ac348645d35dd483dda1ff92144e	BSD-3-Clause	584511 KB	src/modules/commander/HealthAndArmingChecks/; src/lib/parameters/param.h; msg/versioned/VehicleStatus.msg; src/modules/logger/logger.cpp [verified 200]	arming checks = verdicts over physical params; not first-tier
embedded	Zephyr	MISSING (reuse)	zephyrproject-rtos/zephyr	0f7aa710fefee49da5406b5fb4ad599c56822ae1	Apache-2.0	964450 KB	dts/bindings/ (e.g. base/base.yaml); scripts/dts/python-devicetree/src/devicetree/edtlib.py; scripts/dts/gen_defines.py [verified 200]	devicetree + YAML bindings = typed hardware component graph with schema validation; sparse-checkout scripts/dts + dts/bindings only
